,City,High School Completion,Income Inequality,Life Expectancy,Neighborhood racial/ethnic segregation,Racial/ethnic diversity,"Unemployment - annual, neighborhood-level",Uninsured,STATE_ABBR,no_of_crimes
496,Oshkosh,91.1,-25.0,78.6,9.1,31.8,3.4,6.2,WI,4
497,Racine,84.4,-29.9,77.0,10.2,69.8,6.4,8.2,WI,14
498,Waukesha,92.3,-9.5,79.8,10.6,40.2,3.0,5.8,WI,14
499,West Allis,92.6,-22.6,75.4,5.5,54.7,3.7,6.7,WI,5
500,Rogers,81.8,-5.9,77.7,13.0,56.0,2.4,13.9,AR,24
501,Casper,93.0,-11.7,79.7,5.7,32.6,3.8,15.7,WY,31
502,Cheyenne,93.5,-12.7,80.7,7.2,43.7,5.4,8.0,WY,23
503,Springdale,72.4,-18.4,77.7,11.9,66.8,5.4,19.4,AR,20
504,Alameda,91.0,18.8,80.8,3.4,84.8,3.6,3.5,CA,177
505,Alhambra,82.9,-10.9,83.0,8.7,71.2,4.3,7.0,CA,54
506,Aliso Viejo,96.4,24.6,82.4,3.6,69.1,3.7,3.6,CA,14
507,Anaheim,76.8,-2.4,80.7,10.5,73.3,5.2,13.4,CA,64
